x,y,std
710,7524.912,16.36521482
711,7525.261,15.54653913
712,7546.886,16.93897884
713,7559.746,15.22279488
714,7543.263,15.0738791
715,7587.082,15.37482605
716,7543.726,16.90055987
717,7551.23,16.46587684
718,7530.904,15.70868499
719,7547.747,14.94171981
720,7568.589,15.63643434
721,7545.763,15.23439631
722,7563.682,15.546732
723,7586.322,15.36223669
724,7531.44,14.33702898
725,7578.286,15.24047913
726,7504.822,15.0587621
727,7548.972,15.24851521
728,7550.33,14.92806417
729,7557.08,14.70155094
730,7550.8,14.62203816
731,7576.424,15.37062861
732,7552.265,15.66291081
733,7570.233,14.75990213
734,7520.137,14.66847746
735,7570.306,14.91282549
736,7539.386,15.88996551
737,7556.078,15.5234634
738,7547.64,18.61602535
739,7586.879,16.56418905
740,7564.756,15.02725737
741,7595.995,14.87712926
742,7542.971,15.81607281
743,7571.805,14.50306778
744,7538.181,15.58487212
745,7574.983,15.06388765
746,7556.879,15.57736688
747,7572.306,15.03423972
748,7568.886,14.87471022
749,7603.362,14.93937602
750,7570.96,15.6016794
751,7592.616,14.34651679
752,7558.776,14.99746059
753,7573.272,14.61943966
754,7538.665,14.86125079
755,7577.511,15.60114993
756,7568.131,15.50960473
757,7559.985,15.07185373
758,7578.123,16.07102582
759,7614.805,14.78746006
760,7566.428,15.00875798
761,7569.829,14.89831397
762,7588.446,14.73672569
763,7563.879,14.76876295
764,7569.338,15.08369172
765,7594.885,14.90489098
766,7554.138,14.91499098
767,7585.858,15.76140336
768,7565.036,16.15248291
769,7586.355,14.48064139
770,7562.389,16.01354673
771,7567.563,14.7275942
772,7562.546,15.376927
773,7579.12,14.68412749
774,7560.752,15.58879392
775,7599.06,15.34172089
776,7538.189,15.61797935
777,7582.993,17.69771033
778,7555.787,16.17867828
779,7540.688,14.82675474
780,7558.394,14.86030834
781,7551.034,15.11922101
782,7547.445,15.58726965
783,7575.944,15.19193418
784,7568.319,15.32818447
785,7581.753,15.96953321
786,7508.107,15.89684091
787,7579.319,16.65656744
788,7575.205,14.76045308
789,7562.558,14.36442258
790,7582.871,17.37913574
791,7546.579,15.250238
792,7575.219,15.44529181
793,7599.477,16.35522764
794,7557.655,14.64779762
795,7562.983,15.17875855
796,7551.947,16.02554807
797,7556.926,15.25301688
798,7571.265,14.98541875
799,7585.327,14.71244613
800,7599.349,15.33157523
801,7607.965,17.49073398
802,7566.621,14.79349043
803,7575.045,19.82410086
804,7550.405,15.01668988
805,7565.14,14.98760821
806,7561.889,14.73155386
807,7591.094,14.59442236
808,7592.063,15.40996531
809,7587.658,15.12927744
810,7558.366,15.57613701
811,7585.133,14.73544404
812,7566.106,15.06607991
813,7592.104,15.09705879
814,7575.233,15.60162527
815,7593.946,15.3838579
816,7580.5,18.93942977
817,7582.066,15.15676892
818,7573.446,14.41204649
819,7604.557,16.03230336
820,7585.756,15.24573593
821,7598.37,14.80382045
822,7575.087,14.62297613
823,7595.902,16.02187242
824,7587.824,15.00050079
825,7599.42,15.21846247
826,7596.29,15.64429289
827,7635.927,14.8153188
828,7583.216,15.12089098
829,7598.311,15.06208083
830,7584.787,14.72954959
831,7571.611,15.25541474
832,7572.158,15.03306476
833,7573.09,15.4839885
834,7584.714,14.83934648
835,7592.876,15.6420147
836,7567.808,14.65937025
837,7633.234,14.93021246
838,7571.866,14.63735099
839,7593.245,15.23269428
840,7584.756,16.2116151
841,7539.579,14.31159526
842,7578.3,17.81875417
843,7586.528,15.60234649
844,7589.562,14.60411435
