x,y
660,207.1171491
661,207.0907156
662,207.0642821
663,207.0378487
664,207.0114152
665,206.9849817
666,206.9585482
667,206.9321148
668,206.9056813
669,206.8792478
670,206.8528144
671,206.8263809
672,206.7999474
673,206.773514
674,206.7470805
675,206.720647
676,206.6942135
677,206.6677801
678,206.6413466
679,206.6149131
680,206.5884797
681,206.5620462
682,206.5356127
683,206.5091792
684,206.4827458
685,206.4563123
686,206.4298788
687,206.4034454
688,206.3770119
689,206.3505784
690,206.324145
691,206.2977115
692,206.271278
693,206.2448445
694,206.2184111
695,206.1919776
696,206.1655441
697,206.1391107
698,206.1126772
699,206.0862437
700,206.0598102
701,206.0333768
702,206.0069433
703,205.9805098
704,205.9540764
705,205.9276429
706,205.9012094
707,205.874776
708,205.8483425
709,205.821909
710,205.7954755
711,205.7690421
712,205.7426086
713,205.7161751
714,205.6897417
715,205.6633082
716,205.6368747
717,205.6104412
718,205.5840078
719,205.5575743
720,205.5311408
721,205.5047074
722,205.4782739
723,205.4518404
724,205.425407
725,205.3989735
726,205.37254
727,205.3461065
728,205.3196731
729,205.2932396
730,205.2668061
731,205.2403727
732,205.2139392
733,205.1875057
734,205.1610722
735,205.1346388
736,205.1082053
737,205.0817718
738,205.0553384
739,205.0289049
740,205.0024714
741,204.976038
742,204.9496045
743,204.923171
744,204.8967375
745,204.8703041
746,204.8438706
747,204.8174371
748,204.7910037
749,204.7645702
750,204.7381367
751,204.7117032
752,204.6852698
753,204.6588363
754,204.6324028
755,204.6059694
756,204.5795359
757,204.5531024
758,204.5266689
759,204.5002355
760,204.473802
761,204.4473685
762,204.4209351
763,204.3945016
764,204.3680681
765,204.3416347
766,204.3152012
767,204.2887677
768,204.2623342
769,204.2359008
770,204.2094673
771,204.1830338
772,204.1566004
773,204.1301669
774,204.1037334
775,204.0772999
776,204.0508665
777,204.024433
778,203.9979995
779,203.9715661
780,203.9451326
781,203.9186991
782,203.8922657
783,203.8658322
784,203.8393987
785,203.8129652
786,203.7865318
787,203.7600983
788,203.7336648
789,203.7072314
790,203.6807979
791,203.6543644
792,203.6279309
793,203.6014975
794,203.575064
795,203.5486305
796,203.5221971
797,203.4957636
798,203.4693301
799,203.4428967
800,203.4164632
801,203.3900297
802,203.3635962
803,203.3371628
804,203.3107293
805,203.2842958
806,203.2578624
807,203.2314289
808,203.2049954
809,203.1785619
810,203.1521285
811,203.125695
812,203.0992615
813,203.0728281
814,203.0463946
815,203.0199611
816,202.9935277
817,202.9670942
818,202.9406607
819,202.9142272
820,202.8877938
821,202.8613603
822,202.8349268
823,202.8084934
824,202.7820599
825,202.7556264
826,202.7291929
827,202.7027595
828,202.676326
829,202.6498925
830,202.6234591
831,202.5970256
832,202.5705921
833,202.5441587
834,202.5177252
835,202.4912917
836,202.4648582
837,202.4384248
838,202.4119913
839,202.3855578
840,202.3591244
841,202.3326909
842,202.3062574
843,202.2798239
844,202.2533905
845,202.226957
846,202.2005235
847,202.1740901
848,202.1476566
849,202.1212231
850,202.0947897
851,202.0683562
852,202.0419227
853,202.0154892
854,201.9890558
855,201.9626223
856,201.9361888
857,201.9097554
858,201.8833219
859,201.8568884
860,201.8304549
861,201.8040215
862,201.777588
863,201.7511545
864,201.7247211
865,201.6982876
866,201.6718541
867,201.6454206
868,201.6189872
869,201.5925537
870,201.5661202
871,201.5396868
872,201.5132533
873,201.4868198
874,201.4603864
875,201.4339529
876,201.4075194
877,201.3810859
878,201.3546525
879,201.328219
880,201.3017855
881,201.2753521
882,201.2489186
883,201.2224851
884,201.1960516
885,201.1696182
886,201.1431847
887,201.1167512
888,201.0903178
889,201.0638843
890,201.0374508
891,201.0110174
892,200.9845839
893,200.9581504
894,200.9317169
895,200.9052835
896,200.87885
897,200.8524165
898,200.8259831
899,200.7995496
900,200.7731161
901,200.7466826
902,200.7202492
903,200.6938157
904,200.6673822
905,200.6409488
906,200.6145153
907,200.5880818
908,200.5616484
909,200.5352149
910,200.5087814
911,200.4823479
912,200.4559145
913,200.429481
914,200.4030475
915,200.3766141
916,200.3501806
917,200.3237471
918,200.2973136
919,200.2708802
