x,y
1193,190.8669109
1194,190.8424908
1195,190.8180708
1196,190.7936508
1197,190.7692308
1198,190.7448107
1199,190.7203907
1200,190.6959707
1201,190.6715507
1202,190.6471306
1203,190.6227106
1204,190.5982906
1205,190.5738706
1206,190.5494505
1207,190.5250305
1208,190.5006105
1209,190.4761905
1210,190.4517705
1211,190.4273504
1212,190.4029304
1213,190.3785104
1214,190.3540904
1215,190.3296703
1216,190.3052503
1217,190.2808303
1218,190.2564103
1219,190.2319902
1220,190.2075702
1221,190.1831502
1222,190.1587302
1223,190.1343101
1224,190.1098901
1225,190.0854701
1226,190.0610501
1227,190.03663
1228,190.01221
1229,189.98779
1230,189.96337
1231,189.9389499
1232,189.9145299
1233,189.8901099
1234,189.8656899
1235,189.8412698
1236,189.8168498
1237,189.7924298
1238,189.7680098
1239,189.7435897
1240,189.7191697
1241,189.6947497
1242,189.6703297
1243,189.6459096
1244,189.6214896
1245,189.5970696
1246,189.5726496
1247,189.5482295
1248,189.5238095
1249,189.4993895
1250,189.4749695
1251,189.4505495
1252,189.4261294
1253,189.4017094
1254,189.3772894
1255,189.3528694
1256,189.3284493
1257,189.3040293
1258,189.2796093
1259,189.2551893
1260,189.2307692
1261,189.2063492
1262,189.1819292
1263,189.1575092
1264,189.1330891
1265,189.1086691
1266,189.0842491
1267,189.0598291
1268,189.035409
1269,189.010989
1270,188.986569
1271,188.962149
1272,188.9377289
1273,188.9133089
1274,188.8888889
1275,188.8644689
1276,188.8400488
1277,188.8156288
1278,188.7912088
1279,188.7667888
1280,188.7423687
1281,188.7179487
1282,188.6935287
1283,188.6691087
1284,188.6446886
1285,188.6202686
1286,188.5958486
1287,188.5714286
1288,188.5470085
1289,188.5225885
1290,188.4981685
1291,188.4737485
1292,188.4493284
1293,188.4249084
1294,188.4004884
1295,188.3760684
1296,188.3516484
1297,188.3272283
1298,188.3028083
1299,188.2783883
1300,188.2539683
1301,188.2295482
1302,188.2051282
1303,188.1807082
1304,188.1562882
1305,188.1318681
1306,188.1074481
1307,188.0830281
1308,188.0586081
1309,188.034188
1310,188.009768
1311,187.985348
1312,187.960928
1313,187.9365079
1314,187.9120879
1315,187.8876679
1316,187.8632479
1317,187.8388278
1318,187.8144078
1319,187.7899878
1320,187.7655678
1321,187.7411477
1322,187.7167277
1323,187.6923077
1324,187.6678877
1325,187.6434676
1326,187.6190476
1327,187.5946276
1328,187.5702076
1329,187.5457875
1330,187.5213675
1331,187.4969475
1332,187.4725275
1333,187.4481074
1334,187.4236874
1335,187.3992674
1336,187.3748474
1337,187.3504274
1338,187.3260073
1339,187.3015873
1340,187.2771673
1341,187.2527473
1342,187.2283272
1343,187.2039072
1344,187.1794872
1345,187.1550672
1346,187.1306471
1347,187.1062271
1348,187.0818071
1349,187.0573871
1350,187.032967
1351,187.008547
1352,186.984127
1353,186.959707
1354,186.9352869
1355,186.9108669
1356,186.8864469
1357,186.8620269
1358,186.8376068
1359,186.8131868
1360,186.7887668
1361,186.7643468
1362,186.7399267
1363,186.7155067
1364,186.6910867
1365,186.6666667
1366,186.6422466
1367,186.6178266
1368,186.5934066
1369,186.5689866
1370,186.5445665
1371,186.5201465
1372,186.4957265
